Unnamed: 0,question,answer,context,questions,hallucination_detected,verdict,severity,confidence,unsupported_claims,contradicted_claims,fabricated_details,supported_claims,reasoning,raw_llm_response
17,"Is it possible to open an Openbank account while traveling through Thailand on June 15, 2023?","Yes, it is possible to open an Openbank account.","**Open account** Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia. **Account held in trust: Not supported** Currently, Openbank is unable to open high yield savings accounts with ownership by a formal trust. **About Openbank** Openbank, a division of Santander Bank, N.A., combines Banco Santander's 167 years of global banking experience with today's most innovative digital platform to deliver a seamless and powerful digital banking experience. As we launch in the United States, you'll enjoy top tier rates and personal support built upon the legacy of stability and security offered by a top global bank. It's better banking. Period.","Is it possible to open an Openbank account while traveling through Thailand on June 15, 2023?",,ERROR,,,,,,,Evaluation error: A process in the process pool was terminated abruptly while the future was running or pending.,
144,"Can I establish a joint account with my distant relative who lives in another country using our bank's ""Global Unity"" program available online since March 1, 2022?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi18a.nonprod.corpint.net-2421465-502412-",,"Can I establish a joint account with my distant relative who lives in another country using our bank's ""Global Unity"" program available online since March 1, 2022?",,ERROR,,,,,,,Evaluation error: A process in the process pool was terminated abruptly while the future was running or pending.,
151,"Is there a policy in place that allows me to dispute any transaction processed through my openbank account with FirstMerit Bank between November 15 and December 31, 2023, if I have not logged into my account since October 2022?","To dispute a transaction on your statement, please say 'speak to agent' or press 0.","**Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0. **Move money out** To move money out of your high yield savings account, sign in to the Openbank app on your trusted mobile device. Visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Manage my recipients. If you're sending money to an existing recipient, the process is easy: just select their name, then select Move money out and follow the directions. If you're sending money to a new recipient, select Add new recipient. Follow the prompts to add your recipient's account type, routing number, and account number, as well as their name and an optional nickname. Once you confirm the information, select their name, then select Move money out and follow the directions. **Move money in: Pending payments, transfers on hold, funds availability** If your transfer is pending, visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Incoming Transfer Requests. If your transfer is on hold, please say 'speak to agent' or press 0 - so that you can confirm your transaction information before it can be released. Funds availability depends on how you made the deposit. Openbank does offer same-day availability for funds deposited by direct deposit and some other electronic deposits, as well as for wire transfers. If you initiated your transfer request from the Openbank app, it takes 1 to 4 business days for your money to arrive in your high yield savings account, at which point you'll start earning interest.","Is there a policy in place that allows me to dispute any transaction processed through my openbank account with FirstMerit Bank between November 15 and December 31, 2023, if I have not logged into my account since October 2022?",,ERROR,,,,,,,Evaluation error: A process in the process pool was terminated abruptly while the future was running or pending.,
163,"Is it possible to update my name on an Openbank account without notifying the joint account owner, a renowned sociologist known for their research on urban development patterns in megacities since the 21st century began?","To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking.","**Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. **Add, update, remove beneficiary** To add a beneficiary to your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select Add a new beneficiary and follow the directions. To update or remove a beneficiary from your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select the beneficiary you would like to update or remove and follow the instructions. **Add, update, remove joint account owner** To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email. To update or remove a joint account owner, please say 'speak to agent' or press 0.","Is it possible to update my name on an Openbank account without notifying the joint account owner, a renowned sociologist known for their research on urban development patterns in megacities since the 21st century began?",,ERROR,,,,,,,Evaluation error: A process in the process pool was terminated abruptly while the future was running or pending.,
164,"Is it possible to modify my Openbank account without informing the joint account owner, a distinguished psychologist known for their research on cognitive behavioral therapy techniques since the 1970s?","No, you cannot modify your Openbank account without informing the joint account owner. To update or remove a joint account owner, please say 'speak to agent' or press 0.","**Add, update, remove joint account owner** To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email. To update or remove a joint account owner, please say 'speak to agent' or press 0. **Add, update, remove beneficiary** To add a beneficiary to your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select Add a new beneficiary and follow the directions. To update or remove a beneficiary from your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select the beneficiary you would like to update or remove and follow the instructions. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking.","Is it possible to modify my Openbank account without informing the joint account owner, a distinguished psychologist known for their research on cognitive behavioral therapy techniques since the 1970s?",,ERROR,,,,,,,Evaluation error: A process in the process pool was terminated abruptly while the future was running or pending.,
166,Can you explain how to change the name associated with an Openbank account and remove the joint account owner who is a certified Master Gardener from the Victorian era?,"To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking.","**Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. **Add, update, remove beneficiary** To add a beneficiary to your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select Add a new beneficiary and follow the directions. To update or remove a beneficiary from your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select the beneficiary you would like to update or remove and follow the instructions. **Add, remove biometrics: Apple Face ID, Touch ID, Android fingerprint ID** A trusted mobile device is required, biometrics are strongly recommended. Openbank strongly recommends enabling fingerprint or facial recognition biometrics, as it provides you with an extra layer of security and streamlines access to your account. To add biometrics, go to the device settings on your smartphone or tablet. If you're using an Apple device, follow the prompts to add Face ID or Touch ID. If you're using an Android device, follow the prompts to add fingerprint ID biometrics. We've created step-by-step demos for both Apple and Android devices. If you have an apple device, visit openbank.us forward slash apple dash setup. If you're using an Android device, please visit openbank.us forward slash android dash setup. To remove biometrics, go to the device settings on your smartphone or tablet. If you're using an Apple device, follow the prompts to remove Face ID or Touch ID. If you're using an Android device, follow the prompts to remove fingerprint ID biometrics.",Can you explain how to change the name associated with an Openbank account and remove the joint account owner who is a certified Master Gardener from the Victorian era?,,ERROR,,,,,,,Evaluation error: A process in the process pool was terminated abruptly while the future was running or pending.,
168,Is it possible to change the name associated with an Openbank account and remove the joint account owner who holds a Master's degree in Urban Planning from a highly-regarded university established in the year 1900?,"To change your name, please say 'speak to agent' or press 0. To remove a joint account owner, please say 'speak to agent' or press 0.","**Add, update, remove joint account owner** To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email. To update or remove a joint account owner, please say 'speak to agent' or press 0. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. **Add, update, remove beneficiary** To add a beneficiary to your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select Add a new beneficiary and follow the directions. To update or remove a beneficiary from your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select the beneficiary you would like to update or remove and follow the instructions.",Is it possible to change the name associated with an Openbank account and remove the joint account owner who holds a Master's degree in Urban Planning from a highly-regarded university established in the year 1900?,,ERROR,,,,,,,Evaluation error: A process in the process pool was terminated abruptly while the future was running or pending.,
199,What steps are required to change my name on an Openbank account while also removing the joint account owner who holds citizenship in two countries that were founding members of the European Union during its early years?,"To change your name, please say 'speak to agent' or press 0. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. To remove a joint account owner, please say 'speak to agent' or press 0.","**Add, update, remove joint account owner** To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email. To update or remove a joint account owner, please say 'speak to agent' or press 0. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking. **Add, update, remove beneficiary** To add a beneficiary to your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select Add a new beneficiary and follow the directions. To update or remove a beneficiary from your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select the beneficiary you would like to update or remove and follow the instructions.",What steps are required to change my name on an Openbank account while also removing the joint account owner who holds citizenship in two countries that were founding members of the European Union during its early years?,,ERROR,,,,,,,Evaluation error: A process in the process pool was terminated abruptly while the future was running or pending.,
210,"Is it possible to modify my Openbank account without informing the joint account owner, a celebrated ethnographer known for their extensive fieldwork on indigenous cultures across North and South America since the late 20th century?","No, you cannot modify your Openbank account without informing the joint account owner. To update or remove a joint account owner, please say 'speak to agent' or press 0.","**Add, update, remove joint account owner** To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email. To update or remove a joint account owner, please say 'speak to agent' or press 0. **Add, update, remove beneficiary** To add a beneficiary to your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select Add a new beneficiary and follow the directions. To update or remove a beneficiary from your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select the beneficiary you would like to update or remove and follow the instructions. **Update name** To change your name, please say 'speak to agent' or press 0 to ensure the security of your high yield savings account and personal information. You may be asked to upload relevant documents in our Document Center, which is available in both the Openbank app and online banking.","Is it possible to modify my Openbank account without informing the joint account owner, a celebrated ethnographer known for their extensive fieldwork on indigenous cultures across North and South America since the late 20th century?",,ERROR,,,,,,,Evaluation error: A process in the process pool was terminated abruptly while the future was running or pending.,
218,What are the minimum requirements to open an Openbank account for expatriates living in Monaco?,"To open an Openbank high yield savings account, you must be at least 18 years old, have a U.S. mobile phone number, make a minimum initial deposit of $500, and be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia.","**Open account** Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia. **Account held in trust: Not supported** Currently, Openbank is unable to open high yield savings accounts with ownership by a formal trust. **Add, update, remove joint account owner** To create a joint high yield savings account, sign up for your own account first. Once that account is open, you'll be able to add a new joint account owner. Sign in to the Openbank app on your trusted mobile device and select your account. Then select Add an account owner and follow the instructions to send an invitation to the person you want to add. This person will receive an email with instructions on how to apply. Once that process is complete and they've been approved as a joint owner, you'll be notified by email. To update or remove a joint account owner, please say 'speak to agent' or press 0.",What are the minimum requirements to open an Openbank account for expatriates living in Monaco?,,ERROR,,,,,,,Evaluation error: A process in the process pool was terminated abruptly while the future was running or pending.,
